"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Has_Cabin","Fare_capped","Age_norm","Fare_norm","Sex_encoded","Embarked_C","Embarked_Q","Embarked_S"
0,"3","male",22,1,0,7.25,"S",0,7.25,0.271173661724051,0.0291157385546433,1,0,0,1
1,"1","female",38,1,0,71.2833,"C",1,71.2833,0.472229203317416,0.286271162222373,0,1,0,0
1,"3","female",26,0,0,7.925,"S",0,7.925,0.321437547122393,0.0318265142131791,0,0,0,1
1,"1","female",35,1,0,53.1,"S",1,53.1,0.43453128926866,0.213247685138146,0,0,0,1
0,"3","male",35,0,0,8.05,"S",0,8.05,0.43453128926866,0.0323285097055005,1,0,0,1
0,"3","male",25,0,0,8.4583,"Q",0,8.4583,0.308871575772807,0.0339682277816192,1,0,1,0
0,"1","male",54,0,0,51.8625,"S",1,51.8625,0.673284744910782,0.208277929764164,1,0,0,1
0,"3","male",2,3,1,21.075,"S",0,21.075,0.0198542347323448,0.0846364400053941,1,0,0,1
1,"3","female",27,0,2,11.1333,"S",0,11.1333,0.334003518471978,0.044710931317298,0,0,0,1
1,"2","female",14,1,0,30.0708,"C",0,30.0708,0.170645890927369,0.120763248403996,0,1,0,0
1,"3","female",4,1,1,16.7,"S",1,16.7,0.0449861774315155,0.0670665977741439,0,0,0,1
1,"1","female",58,0,0,26.55,"S",1,26.55,0.723548630309123,0.106623842569073,0,0,0,1
0,"3","male",20,0,0,8.05,"S",0,8.05,0.246041719024881,0.0323285097055005,1,0,0,1
0,"3","male",39,1,5,31.275,"S",0,31.275,0.484795174667002,0.125599272178823,1,0,0,1
0,"3","female",14,0,0,7.8542,"S",0,7.8542,0.170645890927369,0.0315421839663282,0,0,0,1
1,"2","female",55,0,0,16,"S",0,16,0.685850716260367,0.0642554230171438,0,0,0,1
0,"3","male",2,4,1,29.125,"Q",0,29.125,0.0198542347323448,0.116964949710895,1,0,1,0
1,"2","male",30,0,0,13,"S",0,13,0.371701432520734,0.0522075312014294,1,0,0,1
0,"3","female",31,1,0,18,"S",0,18,0.384267403870319,0.0722873508942868,0,0,0,1
1,"3","female",21.5,0,0,7.225,"C",0,7.225,0.264890676049259,0.029015339456179,0,1,0,0
0,"2","male",35,0,0,26,"S",0,26,0.43453128926866,0.104415062402859,1,0,0,1
1,"2","male",34,0,0,13,"S",1,13,0.421965317919075,0.0522075312014294,1,0,0,1
1,"3","female",15,0,0,8.0292,"Q",0,8.0292,0.183211862276954,0.0322449776555782,0,0,1,0
1,"1","male",28,0,0,35.5,"S",1,35.5,0.346569489821563,0.142566719819288,1,0,0,1
0,"3","female",8,3,1,21.075,"S",0,21.075,0.0952500628298567,0.0846364400053941,0,0,0,1
1,"3","female",38,1,5,31.3875,"S",0,31.3875,0.472229203317416,0.126051068121913,0,0,0,1
0,"3","male",25,0,0,7.225,"C",0,7.225,0.308871575772807,0.029015339456179,1,1,0,0
0,"1","male",19,3,2,263,"S",1,249.00622,0.233475747675295,1,1,0,0,1
1,"3","female",21.5,0,0,7.8792,"Q",0,7.8792,0.264890676049259,0.0316425830647925,0,0,1,0
0,"3","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.0317092480661728,1,0,0,1
0,"1","male",40,0,0,27.7208,"C",0,27.7208,0.497361146016587,0.111325733148353,1,1,0,0
1,"1","female",35,1,0,146.5208,"C",1,146.5208,0.43453128926866,0.588422249050645,0,1,0,0
1,"3","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.031123720523929,0,0,1,0
0,"2","male",66,0,0,10.5,"S",0,10.5,0.824076401105805,0.0421676213550006,1,0,0,1
0,"1","male",28,1,0,82.1708,"C",0,82.1708,0.346569489821563,0.32999496960357,1,1,0,0
0,"1","male",42,1,0,52,"S",0,52,0.522493088715758,0.208830124805717,1,0,0,1
1,"3","male",25,0,0,7.2292,"C",0,7.2292,0.308871575772807,0.029032206504721,1,1,0,0
0,"3","male",21,0,0,8.05,"S",0,8.05,0.258607690374466,0.0323285097055005,1,0,0,1
0,"3","female",18,2,0,18,"S",0,18,0.22090977632571,0.0722873508942868,0,0,0,1
1,"3","female",14,1,0,11.2417,"C",0,11.2417,0.170645890927369,0.0451462618082391,0,1,0,0
0,"3","female",40,1,0,9.475,"S",0,9.475,0.497361146016587,0.0380512583179649,0,0,0,1
0,"2","female",27,1,0,21,"S",0,21,0.334003518471978,0.0843352427100013,0,0,0,1
0,"3","male",25,0,0,7.8958,"C",0,7.8958,0.308871575772807,0.0317092480661728,1,1,0,0
